country_prefix,carrier,tariff
82,INDJH,roam_200TGper10Sec
81,INDJH,roam_200TGper10Sec
7,INDJH,roam_200TGper10Sec
380,INDJH,roam_200TGper10Sec
352,INDJH,roam_200TGper10Sec
32,INDJH,roam_200TGper10Sec
33,INDJH,roam_200TGper10Sec
371,INDJH,roam_200TGper10Sec
852,INDJH,roam_200TGper10Sec
